lat,lon,genus,species,dbh,year_min,year_max,crown,height,common,location,ref,maintenance,maturity,planted,updated,health,structure,description,family,address,significance,age
-37.79176467,144.9943976,Ulmus,U. minor 'Atinia',154,,,,28,English Elm,park,1,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Example of the Species, Outstanding Size, Particularly Old",100+ years
-37.79180146,144.9916476,Quercus,Q. ilex,84,,,,16,Holm Oak,park,2,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Particularly Old, Rare or Localised, Horticultural Value",100+ years
-37.79089667,144.9927607,Ulmus,U. minor 'Atinia',120,,,,23,English Elm,park,3,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Historic Value, Outstanding Size, Particularly Old",100+ years
-37.79135235,144.993866,Ulmus,U. minor 'Atinia',139,,,,26,English Elm,park,4,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Outstanding Size, Aesthetic Value, Particularly Old",100+ years
-37.79170848,144.9942299,Ulmus,U. minor 'Atinia',76,,,,16,English Elm,street,5,,Mature,,16/08/2012,,,,,"0 HODDLE STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value",61-80 years
-37.79170848,144.9942299,Ulmus,U. minor 'Atinia',64,,,,10,English Elm,street,6,,Mature,,16/08/2012,,,,,"0 HODDLE STREET, CLIFTON HILL, 3068","Location of Landscape Context, Environmental Value, Aesthetic Value",41-60 years
-37.79089667,144.9927607,Ulmus,U. x hollandica,82,,,,19,Dutch Elm,park,7,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value, Particularly Old",100+ years
-37.79089667,144.9927607,Ulmus,U. x hollandica,92,,,,19,Dutch Elm,park,8,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value, Particularly Old",100+ years
-37.79091882,144.9928532,Butia,B. capitata,50,,,,9,Blue Palm,park,9,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Particularly Old, Outstanding Size, Rare or Localised",81-100 years
-37.79051985,144.9909781,Ulmus,U. x hollandica,103,,,,21,Dutch Elm,park,10,,Mature,,16/08/2012,,,,,"0 GOLD STREET, CLIFTON HILL, 3068","Significant Habitat Value, Environmental Value, Aesthetic Value, Outstanding Size, Particularly Old",100+ years
