lat,lon,genus,species,dbh,year_min,year_max,crown,height,common,location,ref,maintenance,maturity,planted,updated,health,structure,description,family,"ule_min, ule_max",address
-37.79912648,144.9979239,Agonis,A. flexuosa 'After Dark',15,,,,4,After Dark Willow Myrtle,,13672,,Semi-mature,,14/11/2016,,,,,20,"3 BATH STREET, ABBOTSFORD 3067"
-37.78449098,145.0223994,Quercus,Q. canariensis,94,,,,16,Algerian Oak,,862,,Mature,,23/06/2016,,,,,20,"11 MARGARET GROVE, ALPHINGTON 3078"
-37.78156922,144.9835451,Quercus,Q. canariensis,55,,,,7,Algerian Oak,,2875,,Over-mature,,8/11/2016,,,,,0,"99 BEST STREET, FITZROY NORTH 3068"
-37.79605526,144.9863405,Quercus,Q. canariensis,6,,,,3,Algerian Oak,,12042,,Young,,15/11/2016,,,,,20,"16 HOTHAM STREET, COLLINGWOOD 3066"
-37.81611583,145.0008397,Quercus,Q. canariensis,35,,,,8,Algerian Oak,,16041,,Mature,,23/11/2016,,,,,20,"211 CHURCH STREET, RICHMOND 3121"
-37.81612316,145.0009309,Quercus,Q. canariensis,28,,,,7,Algerian Oak,,16042,,Mature,,23/11/2016,,,,,20,"211 CHURCH STREET, RICHMOND 3121"
-37.81623131,145.0017771,Quercus,Q. canariensis,38,,,,6,Algerian Oak,,16049,,Mature,,23/11/2016,,,,,20,"211 CHURCH STREET, RICHMOND 3121"
-37.81604789,144.9999554,Quercus,Q. canariensis,35,,,,7,Algerian Oak,,16151,,Mature,,23/11/2016,,,,,20,"211 CHURCH STREET, RICHMOND 3121"
-37.81611394,145.0007874,Quercus,Q. canariensis,35,,,,8,Algerian Oak,,16156,,Mature,,23/11/2016,,,,,20,"211 CHURCH STREET, RICHMOND 3121"
-37.81999796,145.0021688,Prunus,P. dulcis,19,,,,5,Almond,,17427,,Mature,,15/11/2016,,,,,20,"19 MARY STREET, RICHMOND 3121"
-37.82093429,145.0081179,Prunus,P. dulcis,3,,,,2,Almond,,18308,,Young,,18/11/2016,,,,,"11, 20","203 BURNLEY STREET, RICHMOND 3121"
-37.82328846,145.0122124,Prunus,P. dulcis,13,,,,4,Almond,,18755,,Mature,,21/11/2016,,,,,20,"50 WESTBANK TERRACE, RICHMOND 3121"
-37.82920616,145.0067563,Prunus,P. dulcis,9,,,,2,Almond,,19721,,Young,,3/10/2016,,,,,"11, 20","433 BURNLEY STREET, BURNLEY 3121"
-37.78313705,145.0242725,Malus,M. domestica,15,,,,3,Apple,,839,,Mature,,23/06/2016,,,,,"6, 10","32 COATE AVENUE, ALPHINGTON 3078"
-37.77914025,144.9888508,Malus,M. domestica,5,,,,2,Apple,,2619,,Semi-mature,,28/08/2016,,,,,"11, 20","243 BARKLY STREET, FITZROY NORTH 3068"
